Drug1,Drug2,Cell_Line,Loewe,Tissue
5-Fluorouracil,Veliparib,MDA.MB.436,1.106381637,breast
5-Fluorouracil,MK-1775,MDA.MB.436,12.53829574,breast
5-Fluorouracil,915019-65-7,MDA.MB.436,4.29413387,breast
5-Fluorouracil,Bortezomib,MDA.MB.436,-4.364524014,breast
5-Fluorouracil,Dasatinib,MDA.MB.436,2.809605168,breast
5-Fluorouracil,Dinaciclib,MDA.MB.436,-3.674994373,breast
5-Fluorouracil,Erlotinib,MDA.MB.436,4.61783064,breast
5-Fluorouracil,geldanamycin,MDA.MB.436,-1.045769278,breast
5-Fluorouracil,L-778123 free base,MDA.MB.436,3.31872472,breast
5-Fluorouracil,Lapatinib,MDA.MB.436,0.272619011,breast
5-Fluorouracil,MK-2206,MDA.MB.436,1.879164576,breast
5-Fluorouracil,Niraparib,MDA.MB.436,1.048372661,breast
5-Fluorouracil,MK-5108,MDA.MB.436,-2.139945328,breast
5-Fluorouracil,Deforolimus,MDA.MB.436,4.62196428,breast
5-Fluorouracil,891494-63-6,MDA.MB.436,13.97603539,breast
5-Fluorouracil,391210-10-9,MDA.MB.436,0.730783539,breast
5-Fluorouracil,Sorafenib,MDA.MB.436,-10.87441591,breast
5-Fluorouracil,Sunitinib,MDA.MB.436,3.787750893,breast
5-Fluorouracil,temozolomide,MDA.MB.436,-7.804270619,breast
5-Fluorouracil,Vorinostat,MDA.MB.436,-0.170990874,breast
Veliparib,915019-65-7,MDA.MB.436,7.726051458,breast
Veliparib,Dinaciclib,MDA.MB.436,-0.442550226,breast
Veliparib,geldanamycin,MDA.MB.436,4.360697131,breast
Veliparib,Deforolimus,MDA.MB.436,1.985932584,breast
Veliparib,891494-63-6,MDA.MB.436,0.796850166,breast
Veliparib,Eloxatin (TN),MDA.MB.436,-5.484987255,breast
Veliparib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,8.208191865,breast
Veliparib,Sorafenib,MDA.MB.436,-9.392445016,breast
Veliparib,topotecan,MDA.MB.436,-1.96915814,breast
MK-1775,Veliparib,MDA.MB.436,1.081688058,breast
MK-1775,915019-65-7,MDA.MB.436,11.64389881,breast
MK-1775,Bortezomib,MDA.MB.436,-3.047405284,breast
MK-1775,Dasatinib,MDA.MB.436,2.859244403,breast
MK-1775,Dinaciclib,MDA.MB.436,-3.163659594,breast
MK-1775,Erlotinib,MDA.MB.436,1.87815309,breast
MK-1775,geldanamycin,MDA.MB.436,2.205676194,breast
MK-1775,Lapatinib,MDA.MB.436,-1.45929928,breast
MK-1775,MK-2206,MDA.MB.436,4.960874303,breast
MK-1775,Niraparib,MDA.MB.436,8.31576674,breast
MK-1775,MK-5108,MDA.MB.436,-13.4910452,breast
MK-1775,Deforolimus,MDA.MB.436,9.085688825,breast
MK-1775,891494-63-6,MDA.MB.436,21.12960148,breast
MK-1775,Eloxatin (TN),MDA.MB.436,-4.30365628,breast
MK-1775,391210-10-9,MDA.MB.436,5.536762379,breast
MK-1775,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,2.106603523,breast
MK-1775,Sorafenib,MDA.MB.436,-10.18756589,breast
MK-1775,topotecan,MDA.MB.436,0.22964797,breast
915019-65-7,Dinaciclib,MDA.MB.436,3.025428856,breast
915019-65-7,891494-63-6,MDA.MB.436,10.43629524,breast
915019-65-7,Eloxatin (TN),MDA.MB.436,7.518234851,breast
915019-65-7,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,6.887234831,breast
915019-65-7,Sorafenib,MDA.MB.436,2.893190628,breast
Bortezomib,Veliparib,MDA.MB.436,0.084342475,breast
Bortezomib,915019-65-7,MDA.MB.436,0.631582526,breast
Bortezomib,Dasatinib,MDA.MB.436,-4.473492909,breast
Bortezomib,Dinaciclib,MDA.MB.436,-10.07765815,breast
Bortezomib,geldanamycin,MDA.MB.436,-1.506372627,breast
Bortezomib,Deforolimus,MDA.MB.436,-0.588144256,breast
Bortezomib,891494-63-6,MDA.MB.436,-5.403803973,breast
Bortezomib,Eloxatin (TN),MDA.MB.436,-5.477878981,breast
Bortezomib,7-Ethyl-10-hydroxycamptothecin,MDA.MB.436,0.428738863,breast
Bortezomib,Sorafenib,MDA.MB.436,-14.52494633,breast
Bortezomib,topotecan,MDA.MB.436,-2.495376397,breast
