Drug1,Drug2,Cell_Line,Synergy,Tissue
Cisplatin,Camptothecin,AU565,0,breast
Cisplatin,Navitoclax,MCF7,0,breast
Cisplatin,Navitoclax,MDA.MB.157,0,breast
Cisplatin,Navitoclax,MDA.MB.231,1,breast
Cisplatin,Navitoclax,MDA.MB.361,0,breast
Cisplatin,Navitoclax,MDA.MB.415,0,breast
Cisplatin,Navitoclax,MDA.MB.436,0,breast
Cisplatin,Navitoclax,MDA.MB.453,0,breast
Cisplatin,Navitoclax,MDA.MB.468,0,breast
Cisplatin,Navitoclax,MFM.223,0,breast
Cisplatin,Navitoclax,OCUB.M,0,breast
Cisplatin,Navitoclax,T47D,0,breast
Cisplatin,Navitoclax,UACC.893,0,breast
Cisplatin,Camptothecin,BT.549,0,breast
Cisplatin,Camptothecin,CAL.120,0,breast
Cisplatin,Camptothecin,CAL.51,0,breast
Cisplatin,Camptothecin,CAMA.1,0,breast
Cisplatin,Camptothecin,COLO.824,0,breast
Cisplatin,Camptothecin,DU.4475,0,breast
Cisplatin,Camptothecin,EFM.19,0,breast
Cisplatin,Camptothecin,EVSA.T,0,breast
Cisplatin,Camptothecin,HCC1143,0,breast
Cisplatin,Camptothecin,HCC1187,0,breast
Cisplatin,Camptothecin,HCC1395,0,breast
Cisplatin,Camptothecin,HCC1419,0,breast
Cisplatin,Camptothecin,HCC1428,0,breast
Cisplatin,Camptothecin,HCC1806,0,breast
Cisplatin,Camptothecin,HCC1937,0,breast
Cisplatin,Camptothecin,HCC1954,0,breast
Cisplatin,Camptothecin,HCC38,0,breast
Cisplatin,Camptothecin,HCC70,0,breast
Cisplatin,Camptothecin,Hs.578.T,0,breast
Cisplatin,Camptothecin,JIMT.1,0,breast
Cisplatin,Camptothecin,MCF7,0,breast
Cisplatin,Camptothecin,MDA.MB.157,0,breast
Cisplatin,Camptothecin,MDA.MB.231,0,breast
Cisplatin,Camptothecin,MDA.MB.361,0,breast
Cisplatin,Camptothecin,MDA.MB.415,0,breast
Cisplatin,Camptothecin,MDA.MB.436,0,breast
Cisplatin,Camptothecin,MDA.MB.453,0,breast
Cisplatin,Camptothecin,MDA.MB.468,0,breast
Cisplatin,Camptothecin,MFM.223,0,breast
Cisplatin,Camptothecin,OCUB.M,0,breast
Cisplatin,Camptothecin,T47D,0,breast
Cisplatin,Camptothecin,UACC.893,0,breast
